T,B6,B8,B9,B7
2.26,0.976364,0.977177,1.01336,0.990745
2.27,0.976364,0.977177,1.01336,0.990745
2.28,0.976364,0.977177,1.01336,0.990745
2.29,0.976364,0.977177,1.01336,0.990745
2.3,0.976364,0.977177,1.01336,0.990745
2.31,0.976364,0.977177,1.01336,0.990745
2.32,0.976364,0.977177,1.01336,0.990745
2.33,0.976364,0.977177,1.01336,0.990745
2.34,0.976364,0.977177,1.01336,0.990745
2.35,0.976364,0.977177,1.01336,0.990745
2.36,0.976364,0.977177,1.01336,0.990745
2.37,0.976364,0.977177,1.01336,0.990745
2.38,0.976364,0.977177,1.01336,0.990745
2.39,0.976364,0.977177,1.01336,0.990745
2.4,0.976364,0.977177,1.01336,0.990745
2.41,0.976364,0.977177,1.01336,0.990745
2.42,0.976364,0.977177,1.01336,0.990745
2.43,0.976364,0.977177,1.01336,0.990745
2.44,0.976364,0.977177,1.01336,0.990745
2.45,0.976364,0.977177,1.01336,0.990745
2.46,0.976364,0.977177,1.01336,0.990745
2.47,0.976364,0.977177,1.01336,0.990745
2.48,0.976364,0.977177,1.01336,0.990745
2.49,0.976364,0.977177,1.01336,0.990745
2.5,0.976364,0.977177,1.01336,0.990745
2.51,0.976364,0.977177,1.01336,0.990745
2.52,0.976364,0.977177,1.01336,0.990745
2.53,0.976364,0.977177,1.01336,0.990745
2.54,0.976364,0.977177,1.01336,0.990745
2.55,0.976364,0.977177,1.01336,0.990745
2.56,0.976364,0.977177,1.01336,0.990745
2.57,0.976364,0.977177,1.01336,0.990745
2.58,0.976364,0.977177,1.01336,0.990745
2.59,0.976364,0.977177,1.01336,0.990745
2.6,0.976364,0.977177,1.01336,0.990745
2.61,0.976364,0.977177,1.01336,0.990745
2.62,0.976364,0.977177,1.01336,0.990745
2.63,0.976364,0.977177,1.01336,0.990745
2.64,0.976364,0.977177,1.01336,0.990745
2.65,0.976364,0.977177,1.01336,0.990745
2.66,0.976364,0.977177,1.01336,0.990745
2.67,0.976364,0.977177,1.01336,0.990745
2.68,0.976364,0.977177,1.01336,0.990745
2.69,0.976364,0.977177,1.01336,0.990745
2.7,0.976364,0.977177,1.01336,0.990745
2.71,0.976364,0.977177,1.01336,0.990745
2.72,0.976364,0.977177,1.01336,0.990745
2.73,0.976364,0.977177,1.01336,0.990745
2.74,0.976364,0.977177,1.01336,0.990745
2.75,0.976364,0.977177,1.01336,0.990745
2.76,0.976364,0.977177,1.01336,0.990745
2.77,0.976364,0.977177,1.01336,0.990745
2.78,0.976364,0.977177,1.01336,0.990745
2.79,0.976364,0.977177,1.01336,0.990745
2.8,0.976364,0.977177,1.01336,0.990745
2.81,0.976364,0.977177,1.01336,0.990745
2.82,0.976364,0.977177,1.01336,0.990745
2.83,0.976364,0.977177,1.01336,0.990745
2.84,0.976364,0.977177,1.01336,0.990745
2.85,0.976364,0.977177,1.01336,0.990745
2.86,0.976364,0.977177,1.01336,0.990745
2.87,0.976364,0.977177,1.01336,0.990745
2.88,0.976364,0.977177,1.01336,0.990745
2.89,0.976364,0.977177,1.01336,0.990745
2.9,0.976364,0.977177,1.01336,0.990745
2.91,0.976364,0.977177,1.01336,0.990745
2.92,0.976364,0.977177,1.01336,0.990745
2.93,0.976364,0.977177,1.01336,0.990745
2.94,0.976364,0.977177,1.01336,0.990745
2.95,0.976364,0.977177,1.01336,0.990745
2.96,0.976364,0.977177,1.01336,0.990745
2.97,0.976364,0.977177,1.01336,0.990745
2.98,0.976364,0.977177,1.01336,0.990745
2.99,0.976364,0.977177,1.01336,0.990745
3,0.976364,0.977177,1.01336,0.990745
3.01,0.976364,0.977177,1.01336,0.990745
3.02,0.976364,0.977177,1.01336,0.990745
3.03,0.976364,0.977177,1.01336,0.990745
3.04,0.976364,0.977177,1.01336,0.990745
3.05,0.976364,0.977177,1.01336,0.990745
3.06,0.976364,0.977177,1.01336,0.990745
3.07,0.976364,0.977177,1.01336,0.990745
3.08,0.976364,0.977177,1.01336,0.990745
3.09,0.976364,0.977177,1.01336,0.990745
3.1,0.976364,0.977177,1.01336,0.990745
3.11,0.976364,0.977177,1.01336,0.990745
3.12,0.976364,0.977177,1.01336,0.990745
3.13,0.976364,0.977177,1.01336,0.990745
3.14,0.976364,0.977177,1.01336,0.990745
3.15,0.976364,0.977177,1.01336,0.990745
3.16,0.976364,0.977177,1.01336,0.990745
3.17,0.976364,0.977177,1.01336,0.990745
3.18,0.976364,0.977177,1.01336,0.990745
3.19,0.976364,0.977177,1.01336,0.990745
